Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1637739	1637739	Psammoneis sp. SZCZP70		SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Mediophyceae	589449	Triceratiales	232508	Plagiogrammaceae	232509	Psammoneis	568902	Psammoneis sp. SZCZP70	1637739	FALSE
1637740	1637740	Neofragilaria stilus	Krzywda, Witkowski & Chunlian Li, 2015	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Fragilariophyceae	33853	Fragilariales	33855	Fragilariaceae	33856	Neofragilaria	505993	Neofragilaria stilus	1637740	TRUE
1637741	1637741	Simonsenia aveniformis	Witkowski, Gomes & Gusev, 2015	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Bacillariophyceae	33849	Bacillariales	33851	Bacillariaceae	33852	Simonsenia	1637723	Simonsenia aveniformis	1637741	TRUE
1637742	1637742	Orizaformis holarctica	Witkowski, Chunlian Li & Ashworth, 2015	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Mediophyceae	589449	Triceratiales	232508	Plagiogrammaceae	232509	Orizaformis	1748542	Orizaformis holarctica	1637742	TRUE
1638373	1638373	Sargassum oligocystum	Montagne, 1845	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum oligocystum	1638373	TRUE
1638374	1638374	Sargassum dazhouense	Tseng & Lu, 1997	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum dazhouense	1638374	TRUE
1638375	1638375	Sargassum dotyi	Trono, 1994	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum dotyi	1638375	TRUE
1638376	1638376	Sargassum sanyaense	C.K.Tseng & Lu Baoren, 1997	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum sanyaense	1638376	TRUE
1638397	1638397	Sargassum symphyorhizoideum	Tseng & Lu, 2002	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum symphyorhizoideum	1638397	TRUE
1638435	1638435	Sargassum yinggehaiense	Tseng & Lu, 2002	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum yinggehaiense	1638435	TRUE
1638436	1638436	Sargassum euryphyllum	(Grunow) Tseng & Lu Baoren, 2002	SPECIES	Sargassum subrepandum var. euryphyllum	Grunow, 1888		no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum euryphyllum	1638436	TRUE
